Number,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
225,0.0094351145,0.0020916031,0.0077938931,-0.0044388428,-0.0022818604,1.0015761719
226,-0.0058320611,0.0020916031,0.0154274809,0.0043502197,0.0001595459,1.0167128906
227,-0.0058320611,0.0020916031,-0.022740458,-0.0037064209,0.0004036865,1.0172011719
228,-0.0134656489,-0.0055419847,-0.0074732824,-0.0002884521,-0.0020377197,1.0076796875
229,0.0094351145,-0.0055419847,-0.0074732824,-0.0034622803,-0.0049674072,0.9971816406
230,0.0018015267,-0.0208091603,0.0306946565,-0.0012650146,0.0021126709,0.9996230469
231,-0.0363664122,0.0097251908,0.0154274809,0.0031295166,0.0074837646,1.002796875
232,0.0094351145,0.0097251908,-0.0074732824,0.000932251,0.0016243896,1.0052382813
233,-0.0058320611,-0.0513435115,0.0001603053,-0.0007767334,0.0001595459,0.9932753906
234,-0.0058320611,0.0020916031,0.0077938931,0.0014205322,0.0016243896,1.00084375
235,0.0018015267,-0.0131755725,0.0001603053,-0.0129837646,0.0060189209,1.0025527344
236,0.0323358779,-0.0131755725,0.0306946565,0.0006881104,0.0016243896,1.0186660156
237,-0.0134656489,0.0097251908,0.0077938931,0.0021529541,-0.0071646729,1.0057265625
238,0.0094351145,0.0249923664,0.0001603053,-0.0012650146,-0.0010611572,1.0025527344
239,-0.0134656489,-0.0055419847,-0.0074732824,-0.0005325928,-0.0037467041,1.0040175781
240,0.0018015267,-0.0131755725,-0.0074732824,-0.0076126709,0.0040657959,1.0113417969
241,0.0094351145,0.0097251908,-0.0074732824,0.000932251,-0.0010611572,0.994984375
242,0.0094351145,-0.0360763359,-0.0151068702,0.0006881104,-0.0096060791,1.00475
243,0.0094351145,0.0249923664,0.0077938931,0.000932251,-0.0020377197,1.0181777344
244,-0.0058320611,-0.0055419847,0.0230610687,0.0033736572,0.0006478271,1.0128066406
245,-0.0058320611,-0.0131755725,-0.0151068702,-0.0007767334,-0.000572876,1.0018203125
246,0.0018015267,-0.0208091603,0.0001603053,-0.0012650146,0.0028450928,0.998890625
247,0.0018015267,0.0020916031,0.0077938931,-0.0015091553,-0.0039908447,0.9981582031
248,-0.0134656489,0.0173587786,0.0230610687,-0.0124954834,0.0038216553,1.018421875
249,0.0170687023,0.0020916031,0.0154274809,0.0019088135,-0.000572876,1.0030410156
250,0.0094351145,-0.0284427481,0.0230610687,-0.0129837646,-0.000572876,0.9918105469
251,0.0094351145,-0.0131755725,0.0077938931,0.0143599854,0.0060189209,0.9991347656
252,-0.0058320611,0.0173587786,0.0001603053,0.0014205322,0.0035775146,1.0023085938
253,-0.0210992366,0.0020916031,-0.0074732824,0.0150924072,-0.0035025635,0.9986464844
254,0.0094351145,0.0097251908,0.0077938931,0.002885376,0.0023568115,1.0023085938
255,-0.0058320611,0.0097251908,0.0077938931,0.0001998291,0.0021126709,0.9959609375
256,-0.0134656489,0.0173587786,0.0077938931,0.0001998291,-0.0008170166,0.9920546875
257,0.0094351145,-0.0131755725,0.0077938931,0.002885376,-0.0010611572,0.9957167969
258,0.0094351145,0.0173587786,-0.0074732824,-0.0129837646,-0.0003287354,0.9969375
259,0.0018015267,-0.0131755725,-0.0074732824,-0.008833374,0.0062630615,1.0001113281
260,0.0170687023,-0.0208091603,-0.0074732824,-0.0027298584,0.0016243896,0.9991347656
261,0.0170687023,-0.0055419847,0.0001603053,-0.002973999,-0.0052115479,1.00084375
262,0.0018015267,0.0020916031,0.0077938931,-4.43115234371461E-05,0.0001595459,0.9976699219
263,0.0018015267,0.0020916031,-0.0074732824,-0.001020874,0.0172493896,1.0030410156
264,0.0018015267,-0.0055419847,-0.0074732824,0.0031295166,-8.45947265625015E-05,0.9984023438
265,0.0094351145,-0.0284427481,0.0077938931,0.0011763916,0.0043099365,1.0018203125
266,-0.0210992366,0.0173587786,0.0154274809,0.0006881104,-0.0022818604,0.9944960938
267,-0.0058320611,-0.0055419847,-0.0074732824,0.0014205322,0.0182259521,1.0001113281
268,0.0018015267,0.0020916031,0.0077938931,-0.001020874,-0.0010611572,1.0035292969
269,0.0094351145,-0.0208091603,0.0154274809,0.000932251,-0.0003287354,1.0037734375
270,0.0018015267,0.0097251908,0.0001603053,-0.0027298584,-0.0017935791,1.00084375
271,0.0094351145,-0.0055419847,0.0001603053,-0.0102982178,0.0018685303,1.0040175781
272,-0.0134656489,-0.0055419847,0.0001603053,-0.0032181396,-8.45947265625015E-05,0.9998671875
273,-0.0210992366,-0.0055419847,0.0077938931,-0.0005325928,0.0045540771,1.0069472656
274,0.0170687023,0.0020916031,0.0001603053,-0.002973999,-0.0017935791,0.9976699219
275,0.0018015267,0.0249923664,0.0077938931,-0.0002884521,-0.0020377197,1.0015761719
276,0.0018015267,-0.0208091603,0.0077938931,-4.43115234371461E-05,0.0016243896,0.9979140625
277,-0.0058320611,0.0097251908,0.0154274809,-0.0046829834,0.0118782959,1.0020644531
278,-0.0058320611,-0.0055419847,0.0001603053,-0.002973999,0.0187142334,0.9981582031
279,-0.0058320611,-0.0131755725,0.0077938931,-0.001020874,0.003333374,0.9957167969
280,0.0094351145,0.0020916031,0.0154274809,0.0016646729,-0.0003287354,0.9991347656
281,0.0018015267,0.0097251908,0.0001603053,0.0175338135,0.0006478271,1.0045058594
282,-0.0058320611,-0.0055419847,-0.0074732824,0.0138717041,-0.0030142822,1.0005996094
283,-0.0058320611,0.0020916031,0.0001603053,-0.0002884521,0.0016243896,1.0057265625
284,0.0323358779,-0.0055419847,0.0001603053,-0.0019974365,0.0030892334,1.0030410156
285,0.0247022901,0.0020916031,0.0306946565,0.0004439697,-0.0030142822,1.00475
286,-0.0134656489,-0.0055419847,0.0077938931,-0.0015091553,0.0016243896,0.9984023438
287,0.0018015267,-0.0131755725,0.0077938931,0.0006881104,-0.0003287354,0.9893691406
288,-0.0287328244,0.0020916031,-0.0151068702,0.0033736572,-0.000572876,0.9981582031
289,0.0170687023,-0.0055419847,0.0001603053,-0.0022415771,-0.0054556885,0.9991347656
290,-0.0058320611,0.0097251908,-0.0074732824,-0.0012650146,-0.0015494385,0.9998671875
291,0.0170687023,0.0097251908,-0.0151068702,-0.0090775146,-0.0100943604,0.9957167969
292,0.0018015267,0.0097251908,0.0230610687,-0.0034622803,0.0065072021,1.0001113281
293,0.0018015267,-0.0055419847,0.0001603053,-0.0022415771,0.0030892334,0.9993789063
